algorithm,size,min,max,avg
merge,750000,3.9785892963409424,4.014525413513184,3.9939529657363892
quick,750000,7.023985862731934,7.10173225402832,7.057056522369384
tim,750000,5.0290796756744385,5.074666500091553,5.053897261619568
heap,1000000,13.187897682189941,13.282635688781738,13.234186387062072
intro,1000000,13.187385559082031,13.249614953994751,13.220208549499512
merge,1000000,5.443742990493774,5.486892938613892,5.467670345306397
tim,1000000,6.814979791641235,6.844926357269287,6.828606724739075
heap,2500000,37.31333136558533,37.61935901641846,37.442138862609866
intro,2500000,37.28894257545471,37.92710208892822,37.49041945934296
merge,2500000,15.217994451522827,15.330110549926758,15.263239574432372
quick,2500000,27.127193450927734,27.809839248657227,27.48941068649292
tim,2500000,19.413971662521362,19.500282287597656,19.450212121009827
heap,5000000,81.11020135879517,81.4046528339386,81.23123941421508
intro,5000000,81.0189790725708,81.52560710906982,81.17256495952606
merge,5000000,32.992287397384644,33.13491868972778,33.05910291671753
quick,5000000,63.06170654296875,63.34434938430786,63.20158224105835
tim,5000000,41.849106550216675,42.04273986816406,41.92227532863617
heap,7500000,127.60565519332886,136.40109300613403,130.96102020740508
intro,7500000,127.15541696548462,127.84395909309387,127.41107151508331
merge,7500000,51.828957319259644,57.39863061904907,54.03331067562103
quick,7500000,100.15428328514099,101.61514210700989,100.63670978546142
tim,7500000,63.65385174751282,70.65167546272278,65.80565505027771




